close,high,low,open,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
29.65,30.5,29.59,30.4,BAC,64019079,HISTORICAL_PRICES,BAC,,2021-01-29,1622765779000,-0.0126540126540127,-0.0126540126540127,30.4,29.65,30.5,29.59,64019079,30.1229,29.3798,30.222,29.3203,64019079,"Jan 29, 21",-0.6700000000000017,-0.0221
29.96,30.04,29.57,29.87,BAC,40985251,HISTORICAL_PRICES,BAC,,2021-02-01,1622765762000,-0.0023310023310023,-0.0023310023310023,29.87,29.96,30.04,29.57,40985251,29.5978,29.687,29.7662,29.3005,40985251,"Feb 1, 21",0.3100000000000023,0.0105
31.03,31.2,30.54,30.58,BAC,53526998,HISTORICAL_PRICES,BAC,,2021-02-02,1622765777000,0.0333000333000333,0.0333000333000333,30.58,31.03,31.2,30.54,53526998,30.3013,30.7472,30.9157,30.2617,53526998,"Feb 2, 21",1.0700000000000005,0.0357
31.58,31.73,30.88,30.91,BAC,49404895,HISTORICAL_PRICES,BAC,,2021-02-03,1622765796000,0.0516150516150515,0.0516150516150515,30.91,31.58,31.73,30.88,49404895,30.6283,31.2922,31.4408,30.5986,49404895,"Feb 3, 21",0.5499999999999972,0.0177
32.5,32.531,31.78,31.8,BAC,51751926,HISTORICAL_PRICES,BAC,,2021-02-04,1622765769000,0.0822510822510822,0.0822510822510822,31.8,32.5,32.531,31.78,51751926,31.5102,32.2038,32.2345,31.4904,51751926,"Feb 4, 21",0.9200000000000016,0.0291
32.37,32.905,32.32,32.89,BAC,42008834,HISTORICAL_PRICES,BAC,,2021-02-05,1622765805000,0.0779220779220778,0.0779220779220778,32.89,32.37,32.905,32.32,42008834,32.5903,32.075,32.6051,32.0255,42008834,"Feb 5, 21",-0.1300000000000025,-0.004
33.09,33.28,32.4,32.43,BAC,46014138,HISTORICAL_PRICES,BAC,,2021-02-08,1622765838000,0.1018981018981019,0.1018981018981019,32.43,33.09,33.28,32.4,46014138,32.1344,32.7884,32.9767,32.1047,46014138,"Feb 8, 21",0.720000000000006,0.0222
32.95,33.02,32.585,32.97,BAC,35868639,HISTORICAL_PRICES,BAC,,2021-02-09,1622765764000,0.0972360972360972,0.0972360972360972,32.97,32.95,33.02,32.585,35868639,32.6695,32.6497,32.7191,32.288,35868639,"Feb 9, 21",-0.1400000000000005,-0.0042
32.98,33.42,32.86,33.12,BAC,45031904,HISTORICAL_PRICES,BAC,,2021-02-10,1622765785000,0.098235098235098,0.098235098235098,33.12,32.98,33.42,32.86,45031904,32.8182,32.6794,33.1154,32.5605,45031904,"Feb 10, 21",0.029999999999994,0.0009
32.88,33.31,32.55,32.97,BAC,29479877,HISTORICAL_PRICES,BAC,,2021-02-11,1622765762000,0.0949050949050949,0.0949050949050949,32.97,32.88,33.31,32.55,29479877,32.6695,32.5803,33.0064,32.2534,29479877,"Feb 11, 21",-0.0999999999999943,-0.003
